original_name_var,name_var,description_var,cost_type
city,city_name,City name,
country,country_name,Country name,
x1,meal_inexpensive_restaurant,"Meal, Inexpensive Restaurant (USD)",Restaurants and Beverages
x2,meal_midrange_restaurant_2p,"Meal for 2 People, Mid-Range Restaurant, Three-course (USD)",Restaurants and Beverages
x3,mcmeal_fastfood,McMeal at McDonald’s (or Equivalent Combo Meal) (USD),Restaurants and Beverages
x4,beer_domestic_restaurant_0_5l,"Domestic Beer (0.5 liter draught, in restaurant) (USD)",Restaurants and Beverages
x5,beer_imported_restaurant_0_33l,"Imported Beer (0.33 liter bottle, in restaurant) (USD)",Restaurants and Beverages
x6,cappuccino_restaurant,"Cappuccino (regular, in restaurant) (USD)",Restaurants and Beverages
x7,soda_restaurant_0_33l,"Coke/Pepsi (0.33 liter bottle, in restaurant) (USD)",Restaurants and Beverages
x8,water_restaurant_0_33l,"Water (0.33 liter bottle, in restaurant) (USD)",Restaurants and Beverages
x9,milk_1l,"Milk (regular), 1 liter (USD)",Supermarket – Basic Food 
x10,bread_white_500g,Loaf of Fresh White Bread (500g) (USD),Supermarket – Basic Food
x11,rice_white_1kg,White Rice (1kg) (USD),Supermarket – Basic Food
x12,eggs_12,Eggs (regular) (12) (USD),Supermarket – Basic Food
x13,cheese_local_1kg,Local Cheese (1kg) (USD),Supermarket – Basic Food
x14,chicken_fillet_1kg,Chicken Breasts (1kg) (USD),Supermarket – Basic Food
x15,beef_1kg,Beef Round (1kg) (or equivalent red meat) (USD),Supermarket – Basic Food
x16,apples_1kg,Apples (1kg) (USD),Supermarket – Basic Food
x17,bananas_1kg,Bananas (1kg) (USD),Supermarket – Basic Food
x18,oranges_1kg,Oranges (1kg) (USD),Supermarket – Basic Food
x19,tomatoes_1kg,Tomatoes (1kg) (USD),Supermarket – Basic Food
x20,potatoes_1kg,Potatoes (1kg) (USD),Supermarket – Basic Food
x21,onions_1kg,Onions (1kg) (USD),Supermarket – Basic Food
x22,lettuce_1unit,Lettuce (1 head) (USD),Supermarket – Basic Food
x23,water_1_5l_supermarket,"Water (1.5 liter bottle, in supermarket) (USD)",Supermarket – Beverages & Others
x24,wine_midrange_supermarket,"Bottle of Wine (Mid-Range, in supermarket) (USD)",Supermarket – Beverages & Others
x25,beer_domestic_supermarket_0_5l,"Domestic Beer (0.5 liter bottle, in supermarket) (USD)",Supermarket – Beverages & Others
x26,beer_imported_supermarket_0_33l,"Imported Beer (0.33 liter bottle, in supermarket) (USD)",Supermarket – Beverages & Others
x27,cigarettes_pack_marlboro,Cigarettes 20 Pack (Marlboro) (USD),Supermarket – Beverages & Others
x28,public_transport_ticket_one_way,One-way Ticket (Local Transport) (USD),Transportation 
x29,public_transport_monthly_pass,Monthly Pass (Regular Price) (USD),Transportation
x30,taxi_start_fare,Taxi Start (Normal Tariff) (USD),Transportation
x31,taxi_per_km,Taxi 1km (Normal Tariff) (USD),Transportation
x32,taxi_waiting_1h,Taxi 1 hour Waiting (Normal Tariff) (USD),Transportation
x33,gasoline_1l,Gasoline (1 liter) (USD),Transportation
x34,car_vw_golf_new,Volkswagen Golf 1.4 90 KW Trendline (or equivalent new car) (USD),Vehicles (purchase)
x35,car_toyota_corolla_new,Toyota Corolla Sedan 1.6l 97kW Comfort (or equivalent new car) (USD),Vehicles (purchase)
x36,utilities_85sqm,"Basic Utilities (Electricity, Heating, Cooling, Water, Garbage) for 85m² Apartment (USD)",Housing and Utilities 
x37,mobile_prepaid_1min,1 min. of Prepaid Local Mobile Tariff (No Discounts or Plans) (USD),Housing and Utilities
x38,internet_60mbps_unlimited,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) (USD)",Housing and Utilities
x39,gym_monthly_membership,"Fitness Club, Monthly Fee for 1 Adult (USD)",Leisure and Lifestyle
x40,tennis_court_1h_weekend,Tennis Court Rent (1 Hour on Weekend) (USD),Leisure and Lifestyle
x41,cinema_ticket,"Cinema, International Release, 1 Seat (USD)",Leisure and Lifestyle
x42,private_preschool_monthly,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child (USD)",Education and Childcare 
x43,international_primary_school_yearly,"International Primary School, Yearly for 1 Child (USD)",Education and Childcare
x44,jeans_levis_501,1 Pair of Jeans (Levis 501 or Similar) (USD),Clothing and Footwear 
x45,summer_dress_chain_store,"1 Summer Dress in a Chain Store (Zara, H&M, etc.) (USD)",Clothing and Footwear
x46,nike_running_shoes,1 Pair of Nike Running Shoes (Mid-Range) (USD),Clothing and Footwear
x47,leather_business_shoes,1 Pair of Men's Leather Business Shoes (USD),Clothing and Footwear
x48,rent_1br_city_center,Apartment (1 bedroom) in City Centre (USD),Housing – Rent and Purchase
x49,rent_1br_outside_center,Apartment (1 bedroom) Outside of Centre (USD),Housing – Rent and Purchase
x50,rent_3br_city_center,Apartment (3 bedrooms) in City Centre (USD),Housing – Rent and Purchase
x51,rent_3br_outside_center,Apartment (3 bedrooms) Outside of Centre (USD),Housing – Rent and Purchase
x52,price_sqm_city_center,Price per Square Meter to Buy Apartment in City Centre (USD),Housing – Rent and Purchase
x53,price_sqm_outside_center,Price per Square Meter to Buy Apartment Outside of Centre (USD),Housing – Rent and Purchase
x54,avg_net_salary,Average Monthly Net Salary (After Tax) (USD),Economy and Finance
x55,mortgage_interest_rate_20y,"Mortgage Interest Rate (%), Yearly, for 20 Years Fixed-Rate",Economy and Finance
data_quality,data_quality_flag,0 if Numbeo believes more contributors are needed to increase data quality; 1 otherwise.,Data Quality (Calidad de los datos)
