#,Country,Broadband SpeedAverage Fixed Broadband Speed (Mbps),Mobile Speed,Broadband Cost,Monthly Rent,Working Holidays Visa,Happiness Index,Migrant Population %,Remote Jobs Searches,Digital Nomad Score
1,Canada,149.35,84.54,€32.42,"950,00 €",,7.23,21.3,83900,74.35
2,UK,76.49,41.72,€33.21,"927,00 €",,7.17,14.1,68400,63.43
3,Romania,188.55,41.48,€7.58,"325,00 €",,6.12,2.4,10980,62.28
4,Sweden,158.73,56.64,€36.83,"885,00 €",,7.35,20,3490,61.54
5,Denmark,179.81,66.68,€44.85,"1.059,00 €",,7.65,12.5,1080,61.49
6,France,177.93,50.45,€25.86,"758,00 €",,6.66,12.8,5360,60.8
7,Netherlands,125.82,88.13,€39.46,"1.213,00 €",,7.45,13.4,3440,60.27
8,Australia,58.52,88.35,€44.97,"1.148,00 €",,7.22,30,17600,60.16
9,Switzerland,186.4,73.85,€67.05,"1.545,00 €",,7.56,29.9,3840,60.15
10,Germany,120.13,49.67,€26.73,"824,00 €",,7.08,15.7,12720,60
11,Norway,146.53,87.37,"66,00 €","1.089,00 €",,7.49,16.1,980,59.77
12,Hungary,169.52,43.6,€15.73,"385,00 €",,6,5.3,900,59.12
13,Luxembourg,144,62.26,€44.79,"1.646,00 €",,7.24,47.4,460,59.06
14,New Zealand,139.82,61.27,€50.22,"1.055,00 €",,7.3,22.3,1650,58.79
15,Singapore,229.42,64.06,€40.73,"2.022,00 €",,6.38,37.1,7890,58.76
16,Spain,160.41,41.98,€36.62,"739,00 €",,6.4,13.1,13650,58.61
17,Lithuania,120.89,53.39,€10.36,"465,00 €",,6.22,4.2,1000,58.17
18,Thailand,183.58,34.4,€22.15,"445,00 €",,6,5.2,1680,58.13
19,Finland,108.84,53.89,€40.78,"835,00 €",,7.81,6.9,810,58.08
20,Austria,74.21,55.19,€33.47,"806,00 €",,7.29,19.9,500,57.31
21,Israel,113.48,23.98,€18.51,"977,00 €",,7.13,23,1490,56.63
22,Belgium,97.32,58.12,€41.28,"800,00 €",,6.86,17.2,1450,56.57
23,Latvia,115.22,33.16,€15.39,"392,00 €",,5.95,12.4,530,56.08
24,Malta,115.45,42.19,€37.51,"945,00 €",,6.77,19.3,2460,55.57
25,Czech Republic,68.72,46.57,€20.81,"571,00 €",,6.91,4.8,620,55.55
26,Poland,111.81,37.76,€14.68,"528,00 €",,6.19,1.7,1760,55.17
27,Slovenia,86.41,45.77,€28.98,"528,00 €",,6.36,12.2,390,55.13
28,Chile,140.23,19.21,€31.61,"393,00 €",,6.23,5,290,54.46
29,Estonia,74.73,48.82,€26.9,"500,00 €",,6.02,14.4,690,54.45
30,Slovakia,90.65,39.78,€17.25,"532,00 €",,6.28,3.4,470,54.39
31,UAE,117.84,129.61,€107.85,"1.211,00 €",,6.79,87.9,1050,53.88
32,Italy,75.42,40.65,€30.95,"672,00 €",,6.39,10.4,5380,53.6
33,Japan,139.24,38.88,€37.51,"754,00 €",,5.87,2,10200,53.58
34,Portugal,131.5,43.27,€45.96,"659,00 €",,5.91,8.7,3750,53.54
35,Brazil,70.21,28.48,€26.26,"221,00 €",,6.38,0.4,2780,53.49
36,Hong Kong,215.19,56.33,€44.04,"2.096,00 €",,5.51,39.6,1080,53.33
37,Ireland,93.34,30.51,€53.31,"1.292,00 €",,7.09,17.1,20770,53.15
38,Croatia,47.61,66.31,€31.33,"458,00 €",,5.51,12.5,1180,52.86
39,Russia,78.07,22.82,€6.84,"287,00 €",,5.55,8,160,52.72
40,Argentina,46.39,27.93,€12.73,"213,00 €",,5.98,4.9,740,52.53
41,Costa Rica,42.44,26.42,€40.19,"453,00 €",,7.12,8.3,1360,52.48
42,Cyprus,47.88,58.66,€45.93,"628,00 €",,6.16,16,1020,52.34
43,Mexico,42.49,31.88,€30.83,"337,00 €",,6.47,0.8,5670,52.08
44,Malaysia,90.81,24.63,€29.53,"333,00 €",,5.38,10.7,3380,51.58
45,Uruguay,54.87,33.42,€37.29,"400,00 €",,6.44,2.4,120,51.31
46,Turkey,28.74,36.79,€12.66,"189,00 €",,5.13,7,3230,50.66
